seqid,stabr,fscskey,fscs_seq,libid,libname,address,city,zip,cnty,c_out_ty,sq_feet,f_sq_ft,hours,f_hours,wks_open,f_wksopn,yr_sub,locale,add_orig,match_note,score,match_add,xcoord,ycoord
23,RI,RI0018,002,GLO,GLOCESTER MANTON FREE PUBLIC LIBRARY,1137 PUTNAM PIKE,GLOCESTER,02814,PROVIDENCE,CE,5950,R_21,2300,R_21,52,R_21,2022,41,,ONE MATCH,100.0,"1137 PUTNAM PIKE, GLOCESTER, RI, 02814",282221.02916061296,301918.15036628733
24,RI,RI0019,002,ASH,ASHAWAY FREE LIBRARY,15 KNIGHT STREET,HOPKINTON,02804,WASHINGTON,CE,2887,R_21,1404,R_21,52,R_21,2022,22,,ONE MATCH,100.0,"15 KNIGHT ST, HOPKINTON, RI, 02804",248899.58026353887,124405.02407463588
25,RI,RI0020,002,LAN,LANGWORTHY PUBLIC LIBRARY,24 SPRING STREET,HOPKINTON,02832,WASHINGTON,CE,2868,R_21,2028,R_21,52,R_21,2022,42,,MULTIPLE MATCHES,100.0,"24 SPRING ST, HOPKINTON, RI, 02832",268374.18478438474,155125.94776763942
26,RI,RI0021,002,JAM,JAMESTOWN PHILOMENIAN LIBRARY,26 NORTH ROAD,JAMESTOWN,02835,NEWPORT,CE,11000,R_21,2086,R_21,49,R_21,2022,21,,ONE MATCH,100.0,"26 NORTH RD, JAMESTOWN, RI, 02835",362578.0452171434,150966.38845871968
27,RI,RI0022,002,JOH,MARIAN J. MOHR MEMORIAL LIBRARY,1 MEMORIAL AVENUE,JOHNSTON,02919,PROVIDENCE,CE,11500,R_21,1755,R_21,39,R_21,2022,21,,ONE MATCH,100.0,"1 MEMORIAL AV, JOHNSTON, RI, 02919",327427.8663688757,272270.56474239053
28,RI,RI0023,002,LIN,LINCOLN PUBLIC LIBRARY,145 OLD RIVER ROAD,LINCOLN,02865,PROVIDENCE,CE,11500,R_21,2612,R_21,50,R_21,2022,21,,ONE MATCH,100.0,"145 OLD RIVER RD, LINCOLN, RI, 02865",340909.8190309939,311430.1541532653
29,RI,RI0024,002,LCO,"BROWNELL LIBRARY, HOME OF LITTLE COMPTON",44 COMMONS,LITTLE COMPTON,02837,NEWPORT,CE,2745,R_21,1943,R_21,52,R_21,2022,41,,ONE MATCH,100.0,"44 COMMONS, LITTLE COMPTON, RI, 02837",418240.2188427807,155617.67212146727
30,RI,RI0025,002,MID,MIDDLETOWN PUBLIC LIBRARY,700 WEST MAIN ROAD,MIDDLETOWN,02842,NEWPORT,CE,12743,R_21,2603,R_21,51,R_21,2022,21,,ONE MATCH,100.0,"700 W MAIN RD, MIDDLETOWN, RI, 02842",382975.79543479724,159740.75217397287
31,RI,RI0026,002,NAR,MAURY LOONTJENS MEMORIAL LIBRARY (NARRAGANSETT),35 KINGSTOWN ROAD,NARRAGANSETT,02882,WASHINGTON,CE,10000,R_21,2563,R_21,52,R_21,2022,21,,MULTIPLE MATCHES,100.0,"35 KINGSTOWN RD, NARRAGANSETT, RI, 02882",339111.55191612535,126835.20963280648
32,RI,RI0027,002,NSH,ISLAND FREE LIBRARY,9 DODGE STREET,NEW SHOREHAM,02807,WASHINGTON,CE,9445,R_21,1369,R_21,37,R_21,2022,42,,ONE MATCH,100.0,"9 DODGE ST, NEW SHOREHAM, RI, 02807",311648.0893905489,32981.85227072777
33,RI,RI0028,002,NPT,NEWPORT PUBLIC LIBRARY,300 SPRING STREET,NEWPORT,02840,NEWPORT,CE,47459,R_21,2863,R_21,51,R_21,2022,21,,ONE MATCH,100.0,"300 SPRING ST, NEWPORT, RI, 02840",379503.0479577453,145473.7855851759
34,RI,RI0029,002,NKI,NORTH KINGSTOWN FREE LIBRARY,100 BOONE STREET,NORTH KINGSTOWN,02852,WASHINGTON,CE,26000,R_21,2583,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"100 BOONE ST, NORTH KINGSTOWN, RI, 02852",340131.50764218636,177379.47208189758
35,RI,RI0030,002,WIL,WILLETT FREE LIBRARY,45 FERRY ROAD,NORTH KINGSTOWN,02874,WASHINGTON,CE,1425,R_21,1386,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"45 FERRY RD, NORTH KINGSTOWN, RI, 02874",348961.3080878328,154638.34012050412
36,RI,RI0032,002,NPR,MAYOR SALVATORE MANCINI UNION FREE LIBRARY,1810 MINERAL SPRING AVENUE,NORTH PROVIDENCE,02904,PROVIDENCE,CE,37650,R_21,2400,R_21,48,R_21,2022,21,,ONE MATCH,100.0,"1810 MINERAL SPRING AV, NORTH PROVIDENCE, RI, 02904",339288.1935340238,283526.93772135506
